complaint_id,year,general_cap_classification,race
15-0208,2015,LACK OF SERVICE,Other/NA
15-0208,2015,LACK OF SERVICE,Other/NA
15-0208,2015,LACK OF SERVICE,Other/NA
15-0208,2015,LACK OF SERVICE,Other/NA
15-0208,2015,LACK OF SERVICE,Other/NA
15-0209,2015,DEPARTMENTAL VIOLATIONS,Black
15-0210,2015,LACK OF SERVICE,Other/NA
15-0211,2015,DEPARTMENTAL VIOLATIONS,White
15-0212,2015,LACK OF SERVICE,Other/NA
15-0213,2015,DEPARTMENTAL VIOLATIONS,Black
15-0213,2015,DEPARTMENTAL VIOLATIONS,Black
15-0214,2015,VERBAL ABUSE,White
15-0215,2015,PHYSICAL ABUSE,Black
15-0215,2015,PHYSICAL ABUSE,Black
15-0215,2015,PHYSICAL ABUSE,Black
15-0216,2015,PHYSICAL ABUSE,Other/NA
15-0217,2015,PHYSICAL ABUSE,White
15-0217,2015,PHYSICAL ABUSE,White
15-0217,2015,PHYSICAL ABUSE,White
15-0217,2015,PHYSICAL ABUSE,White
15-0218,2015,LACK OF SERVICE,White
15-0218,2015,LACK OF SERVICE,White
15-0218,2015,LACK OF SERVICE,White
15-0218,2015,LACK OF SERVICE,White
15-0219,2015,PHYSICAL ABUSE,White
15-0220,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0220,2015,DEPARTMENTAL VIOLATIONS,Other/NA
15-0221,2015,DEPARTMENTAL VIOLATIONS,White
15-0222,2015,VERBAL ABUSE,Black
15-0222,2015,VERBAL ABUSE,Black
15-0222,2015,VERBAL ABUSE,Black
15-0223,2015,DEPARTMENTAL VIOLATIONS,Black
15-0224,2015,VERBAL ABUSE,Black
15-0224,2015,VERBAL ABUSE,Black
15-0225,2015,HARASSMENT,Black
15-0225,2015,HARASSMENT,Black
15-0226,2015,DOMESTIC,Other/NA
15-0226,2015,DOMESTIC,Other/NA
15-0227,2015,SEXUAL CRIME/MISCONDUCT,Black
15-0227,2015,SEXUAL CRIME/MISCONDUCT,Black
15-0228,2015,PHYSICAL ABUSE,Black
15-0228,2015,PHYSICAL ABUSE,Black
15-0228,2015,PHYSICAL ABUSE,Black
15-0229,2015,LACK OF SERVICE,Other/NA
15-0229,2015,LACK OF SERVICE,Other/NA
15-0230,2015,CRIMINAL ALLEGATION,Black
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0231,2015,PHYSICAL ABUSE,Other/NA
15-0232,2015,LACK OF SERVICE,Black
15-0232,2015,LACK OF SERVICE,Black
15-0232,2015,LACK OF SERVICE,Black
15-0232,2015,LACK OF SERVICE,Black
15-0232,2015,LACK OF SERVICE,Black
15-0232,2015,LACK OF SERVICE,Black
15-0232,2015,LACK OF SERVICE,Black
15-0232,2015,LACK OF SERVICE,Black
15-0233,2015,LACK OF SERVICE,White
15-0233,2015,LACK OF SERVICE,White
15-0234,2015,DEPARTMENTAL VIOLATIONS,Black
15-0235,2015,HARASSMENT,Black
15-0235,2015,HARASSMENT,Black
15-0236,2015,UNPROFESSIONAL CONDUCT,Other/NA
